Country,Year,Unsafe water source,Unsafe sanitation,No access to handwashing facility,Household air pollution from solid fuels,Non-exclusive breastfeeding,Discontinued breastfeeding,Child wasting,Child stunting,Low birth weight for gestation,Secondhand smoke,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,High fasting plasma glucose,High total cholesterol,High body-mass index,High systolic blood pressure,Smoking,Iron deficiency,Vitamin A deficiency,Low bone mineral density,Air pollution,Outdoor air pollution,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds,Calories,GDP,Code,Population
Algeria,1990,955.8961213,697.672807,553.3619949,489.2335353,899.6704118,60.9246177,4614.006811,1385.112283,11285.79711,3847.623566,433.579205,512.9994618,6681.106843,5239.961803,484.581579,3978.240183,11534.14122,10461.51408,11184.65786,22471.50271,12123.99939,325.3448055,1186.063381,312.0619502,8231.632683,7801.65,3073.59634,9506.920702,6937.659742,,62048505222.0,DZA,25375816
Algeria,1991,866.6870858,621.1459027,503.1436237,422.9674369,807.9396718,56.18196278,4233.089665,1241.367596,10929.54169,3817.362174,433.7524968,550.4959787,6792.623495,5290.273316,493.1605298,4074.257477,11982.3581,,11599.88753,23065.3345,12357.28142,320.6366358,1057.944728,318.5071826,8343.277229,7982.04,3133.061164,9670.237814,7065.60696,"2,890",45715676428.0,DZA,25987937
Algeria,1992,813.2034441,570.0143928,467.6565143,372.326639,737.7316077,53.57547704,3945.904276,1128.321457,10640.56562,3807.016964,437.7473871,591.3282066,6919.261068,5359.385141,500.0359816,4187.096203,12459.20945,,12039.39662,23737.63937,12616.45441,316.8658859,962.6693964,327.9037541,8449.433439,8141.34,3203.051268,9869.976957,7219.738475,,48003133347.0,DZA,26628568
Algeria,1993,797.6363263,540.1484372,453.1626737,373.3768513,682.7471862,52.22097814,3721.144123,1032.147068,10398.06954,3817.974567,445.4061269,636.5207214,7073.431854,5454.298192,509.7586362,4314.432635,12967.42886,,12525.55368,24512.25818,12892.59573,315.5782611,882.1695785,336.4996226,8571.326594,8264.75,3280.170798,10107.69685,7399.726781,,49945585166.0,DZA,27277040
Algeria,1994,804.5647195,526.650326,447.4879549,378.0654634,640.2325427,52.25540661,3553.183448,951.4072167,10185.55668,3820.875873,464.7761732,693.0348812,7187.776785,5520.068873,519.8018101,4401.67458,13339.3108,,12955.86856,25088.35474,13061.86171,321.8577969,819.5806011,345.5711418,8628.194734,8318.91,3334.887627,10288.13555,7535.782379,,42543177031.0,DZA,27887276
Algeria,1995,813.0361111,515.0728747,440.9180751,384.4796103,602.7393972,52.62183404,3390.384777,870.6890312,9931.675312,3853.173622,475.5717263,743.8954761,7347.205747,5618.857618,534.4073107,4541.499638,13819.36481,11440.80434,13478.31353,25921.87163,13381.91878,321.3244492,752.9663755,356.3538653,8718.434946,8405.16,3442.400401,10559.00476,7735.726033,,41764291964.0,DZA,28470194
Algeria,1996,796.6835197,486.9264956,427.5215905,374.2692857,567.7867115,51.00302996,3206.218141,794.1258339,9687.83467,3882.770913,497.5309684,799.7316307,7468.916461,5690.890146,540.784699,4676.905165,14267.02637,,13987.14037,26735.66947,13635.21949,320.3024212,686.6067804,367.6701139,8946.294056,8646.92,3545.273161,10813.67617,7922.235259,"2,880",46941553940.0,DZA,29033045
Algeria,1997,820.7596281,482.312828,430.2472395,363.9050009,550.0556084,52.34074662,2922.474714,615.6315956,9486.810933,3919.435066,542.7068848,860.2607438,7564.353776,5742.416389,548.9645984,4802.028218,14671.01715,,14476.78839,27500.90582,13856.4882,319.0326166,459.5028672,381.0265974,9151.671941,8865.95,3635.159909,11044.72051,8087.858812,,48177612042.0,DZA,29579300
Algeria,1998,819.1146047,463.3566411,423.6426117,355.1267379,532.3063848,51.73725919,2807.594018,565.1861366,9329.278905,3930.383523,583.8488634,918.0242384,7604.573213,5752.821489,555.7984626,4912.6465,15015.9882,,14884.89186,28142.03563,14038.05882,313.8446439,424.0460913,392.2042774,9275.991686,9001.83,3710.044712,11220.89136,8214.243081,,48187781711.0,DZA,30054135
Algeria,1999,811.5667139,444.0867686,418.3594412,358.2104256,515.0449312,50.61964973,2705.324211,521.9376458,9196.096694,4019.604786,629.3667142,989.2804164,7804.432441,5833.47271,579.4347684,5106.593348,15632.20419,,15635.74796,29287.9632,14328.24095,321.3724395,393.749099,407.4618802,9509.729116,9236.27,3859.966592,11577.75399,8441.052703,,48640671735.0,DZA,30474359
Algeria,2000,788.4509648,417.0770433,407.311718,336.4905226,491.3531623,48.61203498,2588.323435,486.6918349,9065.388191,4078.077289,673.0292394,1053.609884,7854.981998,5820.991091,602.0492599,5272.376778,16165.12084,12647.90308,16283.20631,30201.95393,14541.42292,324.0209057,375.040483,420.0474226,9607.570314,9358.75,3973.099229,11821.46664,8584.057896,,54790398813.0,DZA,30903895
Algeria,2001,706.1272332,361.5795139,378.3286922,303.7606495,443.2188995,42.12690438,2313.021656,427.8297611,8788.766909,4118.383443,742.8985026,1116.431049,7855.593878,5777.97712,629.9075288,5414.552478,16798.25223,,16909.35914,30962.63837,14707.59578,314.9285041,334.5039764,430.9517403,9812.282437,9600.68,4063.243639,12023.72518,8696.245409,"2,990",54744698044.0,DZA,31331226
Algeria,2002,630.2110677,312.3681105,351.8088483,272.9984263,398.9960886,36.42706178,2088.277388,382.2731781,8557.219038,4160.412695,815.5479147,1178.408403,7828.987495,5711.092674,659.0730861,5546.752497,17572.10411,,17551.95877,31435.23987,14860.05669,299.6166301,313.7589893,448.2497338,9952.867137,9775.57,4138.262314,12209.20961,8799.036994,,56760355865.0,DZA,31750833
Algeria,2003,560.354261,267.8081367,326.8555805,252.1892503,362.0484313,31.72082275,1887.11554,333.360393,8332.035404,4233.426784,921.9300634,1220.883216,7822.7284,5654.023489,690.3779018,5741.321581,18642.33797,,18318.10246,32212.1229,15105.33641,281.7923827,281.5799327,466.8979499,10122.34996,9969.38,4254.065436,12479.36807,8965.443301,,67863850334.0,DZA,32175813
Algeria,2004,514.2333506,236.7359326,310.6874937,232.2867993,337.4101004,28.71286825,1676.322296,263.7717292,8157.771928,4278.749301,957.769483,1277.637158,7836.505259,5533.621137,726.4123096,5850.472305,19511.61719,,18937.93914,32475.57164,15212.88307,273.136995,197.9828724,472.5448975,10175.7256,10044.75,4332.948149,12618.87537,9027.482309,,85332581189.0,DZA,32628286
Algeria,2005,467.9047222,208.9834569,293.6820074,218.2432634,313.9165989,25.76357882,1548.44032,233.2812157,7995.21846,4320.038853,993.8341828,1333.8132,7720.410415,5365.678155,763.519861,5949.541109,20322.89073,13289.24661,19532.11433,32652.14304,15319.52721,262.0655648,172.8797315,480.5807577,10177.32857,10061.83,4391.08285,12747.31814,9086.172557,,103000000000.0,DZA,33109258
Algeria,2006,426.6158994,184.1516736,279.1810572,191.6418131,291.7918235,23.20429741,1443.153242,210.9688748,7868.341107,4368.352912,994.5730559,1387.587125,7600.818059,5199.168991,799.3486282,6056.672079,21192.29135,13520.22787,20172.32206,33368.05321,15430.10206,251.101453,155.6137519,490.9740179,10371.01252,10285.63,4468.368909,12892.01534,9159.912033,"3,110",117000000000.0,DZA,33623505
Algeria,2007,387.8975611,162.2138905,265.2755382,170.4829578,269.838185,20.88934954,1346.858716,192.3755712,7803.243382,4425.225467,975.7486778,1439.151737,7492.369685,5047.159684,816.5318477,6176.105212,22185.45224,,20854.74782,34145.94365,15562.58404,237.7605387,141.5258317,498.1143429,10521.71877,10460.06,4546.558805,13059.12841,9251.079554,,135000000000.0,DZA,34189420
Algeria,2008,352.0672871,142.9411976,250.1548182,152.1271475,244.2730776,18.72376136,1231.588601,172.7042748,7684.150634,4477.841446,947.7205063,1490.114993,7380.682796,4896.058274,839.7444059,6297.06465,23209.32683,,21535.12358,34885.65068,15696.50785,225.2071437,129.0400328,508.5591689,10615.82542,10574.32,4617.546747,13227.67269,9350.428704,,171000000000.0,DZA,34816962
Algeria,2009,320.34633,125.5845144,237.8341538,139.4502865,221.5610887,16.69528739,1137.716883,160.6776097,7508.909778,4546.992195,923.2758482,1544.475197,7329.318788,4795.286718,873.15228,6442.149335,24284.11495,,22271.21643,35652.73747,15900.63121,213.2731794,127.891465,520.1287462,10709.92234,10682.78,4693.476729,13434.38988,9490.111001,,137000000000.0,DZA,35490443
Angola,1990,21806.29902,16281.32072,14669.0596,14043.36623,5926.135309,311.3657317,46093.4977,12917.17713,10902.75833,2434.581454,2150.253882,194.1049177,2488.522459,1884.688508,1023.740252,607.502857,7171.55731,2306.414579,1229.438805,8673.80037,5669.806481,758.9018402,14132.99703,171.2390468,15964.10035,2032.26,556.5490327,2648.85501,1476.158817,,11229515599.0,AGO,11626359
Angola,1991,22364.78321,16640.36606,15039.3825,14281.4369,6022.021395,324.8249083,47208.80576,13150.04249,11136.99337,2518.999686,2213.401766,207.853606,2565.522336,1941.48028,1100.491699,626.5115649,7389.344328,,1289.447775,8925.297662,5813.113375,773.4672992,14660.09298,175.2897276,16285.87265,2118.23,592.20922,2722.01932,1520.37106,"1,580",12704558517.0,AGO,12023533
Angola,1992,22654.2633,16792.20597,15246.65683,14453.16136,6034.8752,334.2681049,47893.40198,13333.90027,11335.94091,2589.304831,2305.402914,223.8789772,2646.173553,2002.967579,1203.514433,646.7157018,7626.406246,,1364.042449,9199.862879,5977.649483,797.5145369,15146.21645,178.894277,16529.60375,2192.65,632.048911,2801.812033,1568.238374,,15114352005.0,AGO,12423717
Angola,1993,23151.76852,17102.00554,15583.9055,14784.78244,6114.810163,345.4183074,48810.88213,13554.43111,11591.657,2679.788562,2447.392796,244.0870781,2765.432383,2090.478829,1350.836446,673.0686014,7950.80314,,1466.26453,9575.840741,6206.338224,844.8788736,15646.31489,183.9499168,16919.84143,2255.13,675.7378963,2917.700869,1633.505103,,11051939102.0,AGO,12827135
Angola,1994,24105.62944,17738.97323,16151.86401,14949.37105,6302.077493,364.473683,49890.20921,13720.77059,11811.77527,2763.389425,2597.657575,263.6349982,2865.764409,2167.517548,1529.439397,697.3766514,8240.308372,,1571.719875,9917.081499,6405.455883,887.3462479,16054.48544,203.2077521,17182.25936,2355.71,717.0233575,3019.880555,1692.760742,,3390500000.0,AGO,13249762
Angola,1995,24560.19286,17992.4857,16429.18308,15039.44615,6380.769905,377.9693012,50368.4931,13669.21344,11980.89412,2818.410296,2673.191115,275.6043672,2923.878535,2213.046522,1724.164327,714.5169132,8416.102168,2796.801023,1662.119153,10137.04545,6513.864398,882.0838486,16105.40403,209.9141922,17316.07021,2401.24,763.2915207,3078.488986,1732.27963,,5561222222.0,AGO,13699780
Angola,1996,23808.8323,17347.44958,16048.37947,14912.33567,6249.647317,371.7736669,48854.72452,13434.45779,12112.49423,2839.055418,2636.735837,275.6001212,2899.546193,2200.935048,1929.830357,718.6538228,8428.794806,,1722.063189,10143.24521,6481.705743,824.2856572,15824.01063,194.6864556,17262.1237,2474.38,799.6232384,3057.193812,1734.158055,"1,660",7526963964.0,AGO,14170973
Angola,1997,23271.9544,16877.41102,15777.61615,14776.41014,6151.727849,364.5056027,47293.78017,13206.22014,12258.85478,2868.447406,2746.447849,287.1731957,2926.282243,2227.104,2232.292413,732.0660392,8580.18798,,1833.551214,10314.44431,6560.128455,818.6635747,15590.29614,198.325233,17217.16054,2566.9,849.6428797,3091.798134,1763.857912,,7648377413.0,AGO,14660420
Angola,1998,23118.24542,16680.03244,15750.1911,14937.84351,6031.884045,359.5438579,45855.10756,12866.68363,12366.25637,2958.599035,3168.214938,331.4477431,3099.241421,2369.040022,2706.836193,773.998815,9133.71903,,2064.95636,10963.14792,6975.28024,955.1438427,15146.62582,211.1949138,17523.48119,2717.73,943.3011572,3288.972007,1884.889653,,6506229607.0,AGO,15159377
Angola,1999,22489.99063,16141.04865,15411.15052,14676.74439,5885.646798,352.2385626,44294.96137,12518.09213,12497.58902,2973.028911,3313.998499,336.6373412,3100.496923,2376.219562,3146.622353,784.2517086,9242.520395,,2184.496173,11074.70807,7019.785223,932.7603666,14673.09849,214.7061171,17343.99073,2799.35,975.121038,3300.967869,1908.899543,,6152922943.0,AGO,15667234
Angola,2000,22087.21999,15783.50741,15196.82894,14498.15721,5753.7746,348.0823451,42970.81734,12215.00268,12629.39375,3001.404108,3560.777557,347.8294922,3128.297954,2409.742801,3696.276366,801.6174798,9454.867869,2943.542009,2328.106913,11307.56897,7146.192687,945.4229264,14264.95257,227.9028275,17219.66695,2854.73,1017.027869,3354.220788,1953.603037,,9129594819.0,AGO,16194872
Angola,2001,20440.37939,14534.39169,14288.15284,14047.93283,5484.329012,313.1147377,40684.02921,11642.75917,12687.27806,2993.509919,3845.173694,361.7733491,3083.333294,2386.163391,4307.0497,801.6689627,9496.860273,,2418.177857,11326.6001,7168.831512,925.2434833,13447.05036,231.0454023,16849.17514,2932.84,1041.562168,3332.01563,1954.220034,"1,790",8936079253.0,AGO,16747204
Angola,2002,19228.27946,13638.31327,13604.78872,13696.52967,5253.568388,287.7580566,38599.89869,11165.07834,12798.79525,3004.989239,4202.007195,378.5606097,3057.901566,2384.363916,5043.095621,813.0378432,9579.757979,,2537.898812,11448.17033,7108.745112,891.5332704,12692.11764,229.7438735,16534.49183,2968.63,1081.667225,3343.15387,1971.604494,,15285592487.0,AGO,17327701
Angola,2003,18239.37808,12911.77849,13025.24507,13267.10066,5014.66382,266.8314622,36715.82602,10813.50184,12919.63909,3019.345635,4738.627944,405.0209069,3082.078918,2419.107446,5861.39846,836.0576184,9836.564154,,2703.350217,11752.91975,7227.426874,935.1307027,12145.02785,236.8566126,16184.93007,3048.48,1136.014206,3412.102312,2022.466802,,17812704626.0,AGO,17943717
Angola,2004,18580.18954,13124.04028,13313.67509,13472.53475,5021.948292,275.6151067,35803.49915,9073.144461,13008.3236,3156.155365,5399.713651,438.3968238,3153.231624,2466.946273,6737.797663,862.9215728,10190.42796,,2896.328611,12136.8969,7483.239361,932.2644008,9115.990814,246.6978238,16502.6388,3161.74,1198.819483,3506.030497,2091.246551,,23552057820.0,AGO,18600426
Angola,2005,18120.35616,12763.97696,12977.55813,12844.63677,4829.497553,268.5588906,34163.8819,8511.196022,13006.77285,3116.034995,5809.280229,462.8156784,3064.519674,2414.323691,7619.914965,862.9502367,10198.6824,3146.127046,2993.159193,12106.6734,7443.403145,966.9007362,8367.225993,251.024669,15901.98605,3185.45,1233.793926,3462.885181,2083.36576,,36970901025.0,AGO,19291161
Angola,2006,20058.50958,14077.7456,13860.11103,12211.98326,5293.581932,296.8212943,34281.3544,8604.957524,12980.61602,3061.149341,6407.584993,494.4397777,3011.159088,2396.186352,8481.732051,876.2373306,10435.20063,3194.445663,3149.394217,12282.15027,7603.755569,974.6200916,8842.538233,259.2372847,15352.07413,3266.81,1296.388949,3479.896193,2115.170801,"1,950",52381025105.0,AGO,20015280
Angola,2007,18118.31752,12680.49508,12738.54788,11550.63968,4575.99335,270.9708218,31442.80695,7730.386788,12869.42112,2999.93741,6996.920182,522.1121182,2894.74573,2333.667237,9247.252729,878.9893069,10545.63187,,3268.066852,12317.99019,7638.257827,965.293041,7656.771227,264.551136,14757.91542,3330.94,1348.772492,3440.560342,2115.540387,,65266415707.0,AGO,20778569
Angola,2008,18071.87967,12623.82554,12562.52808,10983.8957,4351.335538,271.7572175,29895.27348,7418.075692,12760.01064,2922.846067,7607.101997,552.4940354,2820.969665,2302.822084,10000.15238,896.7780751,10812.91026,,3457.219585,12579.7537,7704.212989,925.0610835,7497.074255,275.3859573,14203.1176,3341.83,1406.513888,3458.933518,2144.753363,,88538664888.0,AGO,21578655
Angola,2009,17988.49551,12578.01765,12330.10384,10227.87885,4120.388488,269.5066656,28385.55659,7542.965744,12720.90268,2808.243466,8163.737428,585.8223267,2802.570958,2275.683526,10716.01037,913.7964823,11108.64151,,3652.709538,12780.03882,7844.18095,908.0437675,8100.46187,282.4166453,13461.59601,3354.78,1455.552085,3484.848092,2177.704997,,70307196477.0,AGO,22414774
Austria,1990,0.587016686,0.474697474,8.50418899,222.0308993,3.084455378,0.0442401,12.61441097,0.98330869,233.7887429,1147.071679,7245.27632,364.8252694,2320.464463,3801.14973,492.7106121,3207.534528,11185.69085,12099.00823,7333.578754,22463.6923,14323.96963,2.053935593,1.545080079,696.158024,4443.284931,4280.03,2806.066043,4809.836547,3810.205894,,166000000000.0,AUT,7679626
Austria,1991,0.583544278,0.485799359,8.210693651,215.9783766,2.846964899,0.043442412,11.63341716,0.898471569,239.2320078,1150.561278,7076.546354,396.8712538,2324.822329,3859.008433,494.4052161,3263.228215,11660.00973,,7502.86446,22501.75875,14361.67781,2.24787175,1.410710391,660.6342754,4474.216835,4317.3,2846.354903,4868.287575,3900.217963,"3,540",174000000000.0,AUT,7757140
Austria,1992,0.481027023,0.447293613,7.933914091,206.4240888,2.523914259,0.03776218,10.5084384,0.800155178,247.2145958,1131.08948,6757.528121,429.6939644,2292.53223,3838.5883,524.6576423,3264.665228,11912.00498,,7548.52063,22240.05116,14122.8906,1.942539011,1.252162048,622.7604007,4421.261619,4273.68,2843.982804,4836.331087,3914.632174,,195000000000.0,AUT,7842716
Austria,1993,0.431747962,0.453145435,7.508457677,196.472151,1.966363449,0.033853081,8.500307673,0.629433122,230.5215892,1120.369791,6481.387954,460.6729008,2289.110588,3834.754607,526.6409712,3278.758772,12193.09109,,7640.706776,22127.95244,13969.39807,1.577844549,0.992340635,583.3758847,4395.547638,4258.37,2885.973014,4837.470665,3948.79975,,190000000000.0,AUT,7907492
Austria,1994,0.394578998,0.472746347,7.095845009,185.1341033,1.661525625,0.036016832,7.381151538,0.534337485,220.4526367,1091.657969,6184.600392,489.4028142,2250.188659,3758.847871,530.0374276,3234.449552,12246.89083,,7606.329768,21687.48738,13594.85353,2.194583317,0.853871352,546.8658855,4294.106338,4167.16,2878.279196,4762.021484,3911.141546,,204000000000.0,AUT,7938156
Austria,1995,0.349213685,0.483376858,6.807701721,174.7314841,1.294160298,0.031329859,5.987689161,0.417165247,196.2797434,1092.284488,6062.927468,503.2124784,2277.442908,3767.832223,506.5090093,3267.849856,12580.80276,12119.2335,7730.917116,21784.84376,13568.16277,0.933382842,0.672899146,523.9912656,4310.484179,4195.24,2963.724778,4801.632857,3962.334265,,241000000000.0,AUT,7950322
Austria,1996,0.322049336,0.518701573,6.838681173,166.9451044,1.064411911,0.028666722,5.078269227,0.343103812,179.1091178,1093.094322,5913.827534,501.5241551,2300.839982,3765.857283,453.657612,3292.947282,12857.47422,,7873.560628,21868.76076,13464.3968,1.461500768,0.558676865,513.0117841,4334.364482,4228.12,3024.864446,4838.215938,3996.842243,"3,610",237000000000.0,AUT,7960918
Austria,1997,0.298462897,0.560432935,6.708532809,156.2498274,0.916941966,0.028887061,4.487023231,0.289547126,162.9299403,1063.068971,5677.515017,481.0878145,2251.630705,3632.452362,384.6735965,3200.677792,12732.93484,,7777.082885,21217.33394,13079.50129,1.029768693,0.484180971,485.1620668,4226.084631,4130.73,3020.277282,4707.51154,3897.022977,,213000000000.0,AUT,7969802
Austria,1998,0.28676041,0.626558055,6.767318369,148.3208124,0.911977376,0.030617997,4.38003219,0.275422781,155.9837451,1058.079542,5514.346971,485.5103283,2247.228426,3587.557313,376.5831955,3190.982139,12873.70801,,7853.186675,21055.25345,12913.27158,1.230962904,0.469963402,477.9606996,4209.565054,4123.7,3070.406125,4697.120808,3894.116032,,218000000000.0,AUT,7978465
Austria,1999,0.268940636,0.678610307,6.961222735,141.6709566,0.871675619,0.031835167,4.089914267,0.247298716,146.5330863,1045.106978,5347.747139,494.706734,2206.722425,3497.55025,370.9409678,3154.252982,12962.60437,,7890.949084,20724.1186,12646.11123,0.837351347,0.431450401,478.6812266,4176.509674,4099.59,3084.193296,4640.321705,3837.782975,,217000000000.0,AUT,7993895
Austria,2000,0.293614509,0.84419542,6.969560282,133.5361994,0.923026717,0.041540624,4.24340699,0.252971447,151.8807364,1025.607528,5303.175368,516.445848,2148.500706,3361.124652,350.423635,3076.524619,12956.64952,11062.74158,7852.100629,20204.25384,12420.81087,1.149429727,0.459314346,501.2458959,4113.079418,4046.36,3055.706713,4522.09165,3737.982915,,197000000000.0,AUT,8012929
Austria,2001,0.327191885,1.059435796,6.790215971,122.0128155,0.922651985,0.048167231,4.188408112,0.244560932,156.7159816,986.2806331,5183.536755,526.8280114,2058.152302,3161.962498,334.1520338,2939.150276,12775.83773,,7699.985725,19288.82273,12015.99346,1.329817107,0.458983256,486.8598266,4002.464677,3948.48,2944.876343,4318.619049,3573.038578,"3,790",198000000000.0,AUT,8042232
Austria,2002,0.453838012,1.438900112,6.889543573,116.9197567,0.870936496,0.058719906,3.958695376,0.219553709,156.2312663,974.8581893,5162.171331,542.2914539,2026.155829,3063.015023,336.6769876,2901.224901,13060.1262,,7772.508017,18986.29534,11880.37855,0.706773639,0.439841762,504.7532322,4016.750712,3970.75,2913.932036,4249.68086,3518.844562,,214000000000.0,AUT,8081638
Austria,2003,0.604755542,1.892268805,7.266525451,108.9466625,0.978080595,0.077333127,4.272824168,0.234420078,164.8837577,965.9595565,5105.529038,571.5514443,1981.543187,2951.120822,334.9735832,2848.082865,13354.57871,,7855.294598,18609.99895,11670.64866,0.811974689,0.498656636,529.0883143,4034.110339,3999.19,2893.779665,4163.919177,3451.073056,,262000000000.0,AUT,8122605
Austria,2004,0.734832186,2.267610133,7.230935482,98.78339558,0.96668073,0.087558486,4.228086986,0.225338229,159.0259538,937.7622206,5039.162033,587.5492056,1894.760083,2771.878155,322.9131981,2707.004378,13238.36163,,7768.799983,17805.20498,11326.88289,0.815795679,0.505039911,531.0283447,3930.363375,3904.92,2809.695695,3975.467684,3304.538801,,301000000000.0,AUT,8173494
Austria,2005,0.919446711,2.796625974,7.491887367,94.04467792,0.910235897,0.100650998,4.095813943,0.206746409,149.5386716,932.7408508,4979.054192,599.2151956,1883.029156,2718.2498,330.9594998,2689.001205,13496.21504,9442.252093,7897.319409,17745.76424,11194.06754,0.812646582,0.497406852,558.2530464,3931.467306,3911.71,2824.486901,3948.016875,3285.303189,,316000000000.0,AUT,8229204
Austria,2006,1.127245572,3.378429248,7.439763268,84.84878691,0.858825477,0.113005296,3.94708678,0.191149418,134.9423917,907.9640872,4830.83686,594.0836462,1816.908663,2586.396368,297.5008831,2588.571303,13293.99361,9306.752938,7798.080304,17237.65651,10859.51037,0.647836114,0.491846021,553.4179406,3817.069941,3805.41,2750.161857,3798.050221,3160.446343,"3,760",336000000000.0,AUT,8269902
Austria,2007,1.38071329,4.077634883,7.62199526,80.37234242,0.876509681,0.129133744,3.991492658,0.189749249,123.7491525,923.9913552,4789.362715,607.8473826,1803.525062,2556.841683,311.4861203,2587.985748,13491.31346,,7945.39753,17375.21692,10904.48748,0.69343122,0.514101313,568.7025493,3822.761278,3816.36,2767.906966,3792.803588,3151.035717,,389000000000.0,AUT,8296949
Austria,2008,1.550661854,4.51686131,7.58845821,75.10795962,0.930091273,0.145623712,4.091331032,0.196937107,118.7484132,924.2053016,4693.076383,612.5706193,1762.378069,2482.376292,296.3098083,2544.178651,13510.97324,,7993.100922,17237.37594,10784.95353,0.587754063,0.546677737,579.0393364,3753.171317,3750.8,2735.734588,3725.070999,3082.514675,,432000000000.0,AUT,8323250
Austria,2009,1.707698216,4.924250141,7.6836062,71.1272086,0.974955888,0.159305501,4.197516957,0.202696355,116.1642266,966.0800274,4848.917681,643.6371587,1803.510253,2504.344723,292.1603511,2577.499949,13873.71233,,8297.473057,17637.16931,11154.96351,0.538595604,0.575819951,600.3718707,3823.200591,3826.64,2841.161423,3790.301171,3136.860728,,402000000000.0,AUT,8345072
Azerbaijan,1990,925.8642872,814.0436274,556.724606,3056.560611,1328.829483,76.28454917,4397.145498,900.8946976,2488.214721,2961.653646,2197.749269,230.7194853,2679.292054,2731.558529,156.1299233,1379.733775,7820.954168,6940.534453,4652.566842,12604.30885,6407.145522,24.65356716,498.7975531,63.40420294,6047.792009,3040.69,4419.881463,4886.826792,3216.540865,,8858006042.0,AZE,7231085
Azerbaijan,1991,847.3951332,743.8976158,523.4970401,3103.699219,1259.578786,69.64431544,4193.842954,854.8831891,2369.575857,3048.129809,2294.385461,261.1407226,2902.136935,2939.416647,160.3148911,1514.102233,8639.806778,,5146.168279,13780.33452,7132.313776,25.57836735,471.0206329,65.70645315,6315.05024,3264.1,4798.139734,5363.093,3550.078663,"2,160",5344000000.0,AZE,7314314
Azerbaijan,1992,787.218452,690.4028002,497.2456424,3233.74535,1184.27462,64.45735281,3970.088899,805.0682673,2233.221015,3168.781554,2499.968852,298.2995102,3259.910529,3242.783097,169.3128985,1692.262305,9708.033837,,5804.207964,15358.71308,8006.676248,27.13038719,440.4271918,71.64283879,6691.774988,3516.5,5286.059294,6000.50783,4010.927578,,444658671.6,AZE,7405779
Azerbaijan,1993,740.3146304,648.0925962,473.5809262,3292.062271,1108.22259,60.19699226,3731.301248,750.9547521,2110.234043,3210.923013,2601.877376,326.9059982,3531.528234,3422.68369,176.3453157,1801.465014,10411.43046,,6270.043938,16357.48283,8515.161654,27.86743608,413.3981321,68.08401427,6873.534159,3643.96,5396.392169,6408.008791,4330.12872,,1570392598.0,AZE,7504118
Azerbaijan,1994,700.0148888,611.7476631,455.122391,3352.834284,1034.319296,56.26635225,3483.511526,699.1861208,2031.359809,3254.518748,2743.834778,358.2843485,3846.369528,3617.941256,185.5250709,1919.852212,11179.15142,,6738.20584,17433.5719,9124.133642,28.57708678,388.9490277,69.38258781,7062.877734,3777.31,5469.279924,6833.302126,4678.479752,,1193141110.0,AZE,7608896
Azerbaijan,1995,672.4808106,586.3277112,439.3168867,3301.667665,966.4660293,53.10868188,3227.670458,644.1550611,1974.897634,3166.85763,2775.803063,367.5698984,3964.088608,3600.120239,186.7315275,1927.133928,11259.51949,8040.510915,6831.45452,17468.59333,8961.08514,27.61436734,361.5532492,85.49006733,6902.806998,3667.53,5319.242545,6843.049967,4745.041327,,2417332562.0,AZE,7719283
Azerbaijan,1996,629.3509851,548.1061672,420.9256429,3222.708503,898.1370294,48.58345132,2995.722147,596.5054438,1920.422925,3100.266738,2757.122147,378.5834464,4115.900121,3600.418899,191.2693754,1948.690694,11478.35662,,7004.772642,17668.94848,8830.942967,26.39700315,335.164163,60.81460099,6831.702867,3674.72,5213.95484,6904.078461,4838.174081,"2,170",3176507992.0,AZE,7830982
Azerbaijan,1997,588.7852057,512.0541567,402.1982021,3062.611893,831.9834369,44.46220493,2774.578302,551.2145759,1864.676647,2972.21279,2801.145346,386.2381526,4169.305497,3508.777706,194.2209428,1922.963924,11474.50069,,7039.069499,17488.2139,8585.803041,24.4406545,310.1643742,60.56802536,6605.151212,3604.56,5001.384509,6815.952259,4819.087453,,3962362387.0,AZE,7936220
Azerbaijan,1998,551.4739332,479.1691154,387.5418466,2968.338858,781.1385452,40.77261923,2605.85132,516.7473516,1840.439315,2876.253769,2847.891114,393.0927993,4252.713751,3441.720629,197.1411923,1920.760324,11599.38319,,7121.735242,17496.03259,8425.951578,23.15701866,290.6077794,54.24094669,6446.070916,3535.95,4850.633725,6802.612788,4840.331199,,4446370371.0,AZE,8025808
Azerbaijan,1999,490.5543671,425.921983,361.9435011,2818.040355,715.6677661,35.39408421,2391.289883,472.0554925,1830.42887,2762.726827,2917.014899,399.5402577,4269.424871,3335.244406,202.2183857,1898.169009,11613.78284,,7147.181064,17382.21108,8307.51518,21.82949056,261.6829274,51.81231838,6217.892166,3452.77,4601.751005,6753.663073,4822.77478,,4581246713.0,AZE,8100472
